City Name,Country,State,Status
Tirora,India,Maharashtra,active
Sindagi,India,Karnataka,active
Gadhinglaj,India,Maharashtra,active
Muddebihal,India,Karnataka,active
Ramayampet,India,Telangana,active
Kanigiri,India,Andhra Pradesh,active
Kadi,India,Gujarat,active
Kunnamangalam,India,Kerala,active
Kodakara,India,Kerala,active
Bhainsa,India,Telangana,active
Chavakkad,India,Kerala,active
Madhugiri,India,Karnataka,active
Sakleshpura,India,Karnataka,active
Ballarpur,India,Maharashtra,active
Cumbum,India,Andhra Pradesh,active
Rayadurg,India,Andhra Pradesh,active
Jaggayapet,India,Andhra Pradesh,active
Yeleswaram,India,Andhra Pradesh,active
Pandharkaoda,India,Maharashtra,active
Moinabad,India,Telangana,active
Gubbi,India,Karnataka,active
Majalgaon,India,Maharashtra,active
Channagiri,India,Karnataka,active
Vuyyuru,India,Andhra Pradesh,active
Nandigama,India,Andhra Pradesh,active
Mangalore,India,Karnataka,active
Gajapathinagaram,India,Andhra Pradesh,active
Edakkara,India,Kerala,active
Valapadi,India,Tamil Nadu,active
Saoner,India,Maharashtra,active
Banswada,India,Telangana,active
Kanchipuram,India,Tamil Nadu,active
Meenangadi,India,Kerala,active
Badami,India,Karnataka,active
Mundra,India,Gujarat,active
Raibhag,India,Karnataka,active
Chodavaram,India,Andhra Pradesh,active
Pamuru,India,Andhra Pradesh,active
Chikhali,India,Maharashtra,active
Ponnani,India,Kerala,active
Yemmiganur,India,Andhra Pradesh,active
Penugonda,India,Andhra Pradesh,active
Murtijapur,India,Maharashtra,active
Chittur Thathamangalam,India,Kerala,active
Giddaluru,India,Andhra Pradesh,active
Kaikaluru,India,Andhra Pradesh,active
Allagadda,India,Andhra Pradesh,active
Bagepalli,India,Karnataka,active
Parigi,India,Telangana,active
Poovattuparamba,India,Kerala,active
Ibrahimpatnam,India,Telangana,active
Basavakalyan,India,Karnataka,active
Deglur,India,Maharashtra,active
Talikoti,India,Karnataka,active
Krishnarajanagar,India,Karnataka,active
Padubidri,India,Karnataka,active
Gundlupet,India,Karnataka,active
Ambejogai,India,Maharashtra,active
Harugeri,India,Karnataka,active
Nuzvid,India,Andhra Pradesh,active
Challakere,India,Karnataka,active
Kumbakonam,India,Tamil Nadu,active
Venkatgiri,India,Andhra Pradesh,active
Kanchipuram,India,Tamil Nadu,active
Kandukuru,India,Andhra Pradesh,active
Tumsar,India,Maharashtra,active
Toopran,India,Telangana,active
Bhuj,India,Gujarat,active
Yellandu,India,Telangana,active
Bargur,India,Tamil Nadu,active
Pochampalli,India,Tamil Nadu,active
Chennai,India,Tamil Nadu,active
Gargoti,India,Maharashtra,active
Warora,India,Maharashtra,active
Siruguppa,India,Karnataka,active
Punganur,India,Andhra Pradesh,active
Daund,India,Maharashtra,active
Sankagiri,India,Tamil Nadu,active
Cherpulassery,India,Kerala,active
Kuravilangad,India,Kerala,active
Jammalamadugu,India,Andhra Pradesh,active
Tiruvuru,India,Andhra Pradesh,active
Wai,India,Maharashtra,active
Ramanattukara,India,Kerala,active
Georai,India,Maharashtra,active
Devadurga,India,Karnataka,active
Mangalore,India,Karnataka,active
Thiruvankulam,India,Kerala,active
Ilkal,India,Karnataka,active
Belgaum,India,Karnataka,active
V Kota,India,Andhra Pradesh,active
Kalyandurgam,India,Andhra Pradesh,active
Rabhkavi,India,Karnataka,active
Wandoor,India,Kerala,active
Mudigere,India,Karnataka,active
Mundakayam,India,Kerala,active
Hagaribommanahalli,India,Karnataka,active
Erode,India,Tamil Nadu,active
Indi,India,Karnataka,active
Sedam,India,Karnataka,active
Podili,India,Andhra Pradesh,active
Pathiripala,India,Kerala,active
Kolhapur,India,Maharashtra,active
Thamarassery,India,Kerala,active
Hootagalli,India,Karnataka,active
Karaikkal,India,Puducherry,active
Arcot,India,Tamil Nadu,active
Tumkur,India,Karnataka,active
Akiveedu,India,Andhra Pradesh,active
Haliyal,India,Karnataka,active
Palakonda,India,Andhra Pradesh,active
Virajpet,India,Karnataka,active
Somvarpet (Somwarpet),India,Karnataka,active
Srirangapatna,India,Karnataka,active
Mysore,India,Karnataka,active
Digras,India,Maharashtra,active
Narasipura,India,Karnataka,active
Hadagali,India,Karnataka,active
Puthuppally,India,Kerala,active
Davangere,India,Karnataka,active
Dabhoi,India,Gujarat,active
Honnalli,India,Karnataka,active
Kothakota,India,Telangana,active
Piravom,India,Kerala,active
Eramalloor,India,Kerala,active
Nagpur,India,Maharashtra,active
Thrissur,India,Kerala,active
Sadashivpet,India,Telangana,active
Gajendragad,India,Karnataka,active
Hukkeri,India,Karnataka,active
Charummoodu,India,Kerala,active
Husnabad,India,Telangana,active
Gannavaram,India,Andhra Pradesh,active
Karatagi,India,Karnataka,active
Vemulawada,India,Telangana,active
Mysore,India,Karnataka,active
Narayankhed,India,Telangana,active
Davanagere,India,Karnataka,active
Harapanahalli,India,Karnataka,active
Hyderabad,India,Telangana,active
Harihara,India,Karnataka,active
Kotturu,India,Karnataka,active
Mundargi,India,Karnataka,active
Thiruvallur,India,Tamil Nadu,active
Gudivada,India,Andhra Pradesh,active
Vijapur,India,Gujarat,active
Wyra,India,Telangana,active
Anjar,India,Gujarat,active
Sandur,India,Karnataka,active
Aswaraopeta,India,Telangana,active
Krishnarajpete,India,Karnataka,active
Himmat Nagar,India,Gujarat,active
Rajahmundry,India,Andhra Pradesh,active
Thiruwilmala,India,Kerala,active
Manipal,India,Karnataka,active
Vissannapeta,India,Andhra Pradesh,active
Godkondla,India,Telangana,active
Dabhel,India,Gujarat,active
Jewargi,India,Karnataka,active
Jasdan,India,Gujarat,active
Savanur,India,Karnataka,active
Hyderabad,India,Telangana,active
Chennur,India,Telangana,active
Kollam,India,Kerala,active
Tanjore,India,Tamil Nadu,active
Kochi,India,Kerala,active
Kollam,India,Kerala,active
Hyderabad,India,Telangana,active
Nagarbhavi,India,Karnataka,active
Pollachi,India,Tamil Nadu,active
Viramgam,India,Gujarat,active
Salem,India,Tamil Nadu,active
Pondicherry,India,Tamil Nadu,active
Malpe,India,Karnataka,active
Mangalore,India,Karnataka,active
Bangalore,India,Karnataka,active
Vadodara,India,Gujarat,active
Payyannur,India,Kerala,active
Ahmedabad,India,Gujarat,active
Bangalore,India,Karnataka,active
Kumarapalayam,India,Tamil Nadu,active
Anand,India,Gujarat,active
Ahmedabad,India,Gujarat,active
